logged_step,incumbent_best_z
0,302195.5407
1,302195.5407
2,302195.5407
3,302195.5407
4,302195.5407
5,302195.5407
6,302195.5407
7,302195.5407
8,302195.5407
9,302195.5407
10,302195.5407
11,302195.5407
12,302195.5407
13,302195.5407
14,302195.5407
15,302195.5407
16,302195.5407
17,302195.5407
18,302195.5407
19,302195.5407
20,224020.6667
21,194865.3630
22,184916.9630
23,128974.6074
24,128974.6074
25,128974.6074
26,128974.6074
27,128974.6074
28,128974.6074
29,128974.6074
30,128974.6074
31,128974.6074
32,128974.6074
33,128974.6074
34,128974.6074
35,128974.6074
36,128974.6074
37,128974.6074
38,128974.6074
39,128974.6074
40,81457.0052
41,67241.0723
42,67241.0723
43,67241.0723
44,67241.0723
45,67241.0723
46,67241.0723
47,63629.2665
48,63629.2665
49,63629.2665
50,63629.2665
51,63629.2665
52,63629.2665
53,63629.2665
54,63629.2665
55,63629.2665
56,63629.2665
57,60015.1452
58,60015.1452
59,60015.1452
60,60015.1452
61,60015.1452
62,60015.1452
63,60015.1452
64,60015.1452
65,60015.1452
66,52927.8071
67,52927.8071
68,52927.8071
69,52927.8071
70,52927.8071
71,52927.8071
72,52927.8071
73,45361.1130
74,45361.1130
75,45361.1130
76,45361.1130
77,45361.1130
78,45361.1130
79,45361.1130
80,45361.1130
81,45361.1130
82,45361.1130
83,45361.1130
84,45361.1130
85,45361.1130
86,45361.1130
87,45361.1130
88,45361.1130
89,45361.1130
90,45361.1130
91,45361.1130
92,45361.1130
93,45361.1130
94,45361.1130
95,45361.1130
96,45361.1130
97,45361.1130
98,45361.1130
99,45361.1130
100,45361.1130
101,45361.1130
102,45361.1130
103,45361.1130
104,45361.1130
105,45361.1130
106,45361.1130
107,45361.1130
108,45361.1130
109,45361.1130
110,45361.1130
111,45361.1130
112,45361.1130
113,45361.1130
114,45361.1130
115,45361.1130
116,45361.1130
117,45361.1130
118,45361.1130
119,45361.1130
120,45361.1130
121,45361.1130
122,45361.1130
123,45361.1130
124,45361.1130
125,45361.1130
126,45361.1130
127,45361.1130
128,45361.1130
129,45361.1130
130,45361.1130
131,45361.1130
132,45361.1130
133,45361.1130
134,45361.1130
135,45361.1130
136,45361.1130
137,45361.1130
138,45361.1130
139,45361.1130
140,45361.1130
141,45361.1130
142,45361.1130
143,45361.1130
144,45361.1130
145,45361.1130
146,45361.1130
147,45361.1130
148,45361.1130
149,45361.1130
150,45361.1130
151,45361.1130
152,45361.1130
153,45361.1130
154,45361.1130
155,45361.1130
156,45361.1130
157,45361.1130
158,45361.1130
159,45361.1130
