run,SA_z,SA_cpu_s,SA_gap_pct,GA_z,GA_cpu_s,GA_gap_pct
0,45865.06,3.428,1.111,50575.93,2.272,11.496
1,49779.13,3.450,9.740,45855.72,2.276,1.090
2,51410.63,3.441,13.336,53768.32,2.188,18.534
3,47418.52,3.378,4.536,51146.10,2.137,12.753
4,48962.25,3.446,7.939,54969.30,2.191,21.182
5,48159.45,3.334,6.169,53423.12,2.149,17.773
6,51364.58,3.304,13.235,58148.59,2.221,28.190
7,51089.69,3.348,12.629,51763.09,2.187,14.113
8,50580.44,3.317,11.506,50563.41,2.199,11.469
9,45749.95,3.361,0.857,56059.46,2.209,23.585
10,46523.82,3.380,2.563,50769.65,2.229,11.923
11,51738.38,3.322,14.059,50385.08,2.132,11.075
12,45361.11,3.348,0.000,49570.55,2.213,9.280
13,50817.67,3.348,12.029,53988.30,2.170,19.019
14,46783.40,3.290,3.135,51201.85,2.178,12.876
15,46411.34,3.345,2.315,52050.18,2.207,14.746
16,45520.60,3.499,0.352,56075.90,2.230,23.621
17,49364.08,3.276,8.825,57414.95,2.249,26.573
18,50944.46,3.351,12.309,54944.01,2.126,21.126
19,52989.55,3.392,16.817,56139.61,2.134,23.762
